week,ms,home,away,home odds,away odds,over/under,home score,away score,total score
1,false,kc,bal,-3,3,47.5,,,
1,true,phi,gb,
1,false,atl,phi,
1,false,buf,az,
1,false,chi,ten,
1,false,cin,ne,
1,false,ind,hou,
1,false,mia,jax
1,false,no,car,
1,false,nyg,min,
1,false,lac,lv,
1,false,sea,den,
1,false,cle,dal,
1,false,tb,was,
1,false,det,lar,
1,false,sf,nyj,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
2,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
