team,pts,loc,week,opp,opts,win,lose
det,33,away,13,no,28,1,0
det,13,away,14,chi,28,0,1
det,42,home,15,den,17,1,0
det,30,away,16,min,24,1,0
det,19,away,17,dal,20,0,1
det,30,home,18,min,20,1,0
gb,38,away,1,chi,20,1,0
gb,24,away,2,atl,25,0,1
gb,18,home,3,no,17,1,0
gb,20,home,4,det,34,0,1
gb,13,away,5,lv,17,0,1
gb,17,away,7,den,19,0,1
gb,10,home,8,min,24,0,1
gb,20,home,9,lar,3,1,0
gb,19,away,10,pit,23,0,1
gb,23,home,11,lac,20,1,0
gb,29,away,12,det,22,1,0
gb,27,home,13,kc,19,1,0
gb,22,away,14,nyg,24,0,1
gb,20,home,15,tb,34,0,1
gb,33,away,16,car,30,1,0
gb,33,away,17,min,10,1,0
gb,17,home,18,chi,9,1,0
hou,9,away,1,bal,25,0,1
hou,20,home,2,ind,31,0,1
hou,37,away,3,jax,17,1,0
hou,30,home,4,pit,6,1,0
hou,19,away,5,atl,21,0,1
hou,20,home,6,no,13,1,0
hou,13,away,8,car,15,0,1
hou,39,home,9,tb,37,1,0
hou,30,away,10,cin,27,1,0
hou,21,home,11,az,16,1,0
hou,21,home,12,jax,24,0,1
hou,22,home,13,den,17,1,0
hou,6,away,14,nyj,6,0,1
hou,19,away,15,ten,16,1,0
hou,22,home,16,cle,36,0,1
hou,26,home,17,ten,3,1,0
hou,23,away,18,ind,19,1,0
ind,21,home,1,jax,31,0,1
ind,31,away,2,hou,20,1,0
ind,22,away,3,bal,19,1,0
ind,23,home,4,lar,29,0,1
ind,23,home,5,ten,15,1,0
ind,20,away,6,jax,37,0,1
ind,38,home,7,cle,39,0,1
ind,27,home,8,no,38,0,1
ind,27,away,9,car,13,1,0
ind,10,home,10,ne,6,1,0
ind,27,home,12,tb,20,1,0
ind,31,away,13,ten,28,1,0
ind,14,away,14,cin,34,0,1
ind,30,home,15,pit,13,1,0
ind,10,away,16,atl,29,0,1
ind,23,home,17,lv,20,1,0
ind,19,home,18,hou,23,0,1
jax,31,away,1,ind,1,0
jax,9,home,2,kc,17,0,1
jax,17,home,3,hou,27,0,1
jax,23,away,4,atl,7,1,0
jax,25,away,5,buf,20,1,0
jax,37,home,6,ind,20,1,0
jax,31,away,7,no,24,1,0
jax,20,away,8,pit,10,1,0
jax,3,home,10,sf,34,0,1
jax,34,home,11,ten,14,1,0
jax,24,away,12,hou,21,1,0
jax,31,home,13,cin,34,0,1
jax,27,away,14,cle,31,0,1
jax,7,home,15,bal,23,0,1
jax,12,away,16,tb,30,0,1
jax,26,home,17,car,0,1,0
jax,20,away,18,ten,28,0,1
kc,20,home,1,det,21,0,1
kc,17,away,2,jax,9,1,0
kc,41,home,3,chi,10,1,0
kc,23,away,4,nyj,20,1,0
kc,27,away,5,min,27,1,0
kc,19,home,6,den,8,1,0
kc,31,home,7,lac,17,1,0
kc,9,away,8,den,24,0,1
kc,21,away,9,mia,14,1,0
kc,17,home,11,phi,21,0,1
kc,31,away,12,lv,17,1,0
kc,19,away,13,gb,27,0,1
kc,17,home,14,buf,20,0,1
kc,27,away,15,ne,17,1,0
